DATE,OPEN,CLOSE,HIGH,LOW,LTP,VOLUME,VALUE,NO OF TRADES
2024-01-20,2930.0,2987.9,3015.85,2890.5,2987.85,1878793,5522730668.25,83748
2024-01-19,2945.35,2915.65,2949.45,2903.05,2915.3,2014096,5893978244.3,88297
2024-01-18,2975.55,2918.9,2985.0,2885.1,2925.05,2552342,7461140978.65,137932
2024-01-17,3033.0,2971.05,3045.0,2946.3,2978.0,2897218,8676248061.65,116205
2024-01-16,3095.0,3056.5,3104.5,3035.0,3059.0,2515564,7714232714.0,81017
2024-01-15,3127.0,3089.5,3130.0,3067.45,3091.3,1407007,4355339346.3,66077
2024-01-12,3096.35,3104.1,3125.0,3068.2,3105.4,1795933,5567509144.4,81003
2024-01-11,3120.0,3080.9,3129.0,3065.0,3084.0,2008103,6203481301.7,82014
2024-01-10,3024.0,3098.2,3112.0,3020.05,3107.8,3590297,11050048556.25,146816
2024-01-09,2990.7,3014.6,3068.8,2980.0,3024.95,2885706,8742614470.7,124090
2024-01-08,3020.0,2963.5,3027.0,2952.95,2965.0,1849061,5530100075.95,77114
2024-01-05,3009.95,3006.6,3066.9,2981.1,3009.0,3219949,9743825898.6,125926
2024-01-04,3039.4,2998.3,3044.45,2990.0,2996.0,2975620,8961246158.7,122929
2024-01-03,3047.0,3003.0,3199.0,2955.6,3005.0,19725411,60370840646.55,762896
2024-01-02,2922.0,2932.4,2948.2,2841.0,2931.0,2671368,7757572526.85,116025
2024-01-01,2852.3,2917.2,2947.0,2842.05,2902.85,2898619,8448146788.55,116403
2023-12-29,2823.9,2848.95,2863.3,2802.85,2849.05,1507086,4277689534.2,65085
2023-12-28,2855.0,2809.9,2867.35,2800.1,2816.9,4102912,11564085525.15,108070
2023-12-27,2880.7,2843.35,2894.8,2833.6,2846.0,1698325,4847407216.0,96864
2023-12-26,2817.0,2865.45,2893.75,2800.1,2877.05,2048484,5857741774.5,124764
2023-12-22,2815.95,2808.35,2847.6,2791.4,2806.0,1513956,4268777915.65,76777
2023-12-21,2750.0,2799.75,2821.95,2725.0,2812.9,2678577,7469027877.1,139231
2023-12-20,2946.0,2783.85,2968.0,2766.2,2775.0,3417739,9809137609.45,171337
2023-12-19,2988.8,2941.25,2994.35,2915.0,2940.0,1741493,5138037764.3,81742
2023-12-18,2993.95,2980.6,3027.75,2961.1,2974.0,2315922,6931728099.2,100133
2023-12-15,2912.05,2991.8,3000.0,2893.9,2987.0,4921484,14580486604.4,180486
2023-12-14,2900.95,2894.05,2932.95,2887.0,2893.0,3224681,9379561819.45,140194
2023-12-13,2860.0,2875.05,2899.1,2805.0,2887.0,2805832,8009940320.7,118936
2023-12-12,2869.1,2857.65,2895.95,2840.55,2855.0,2017772,5780040717.6,91033
2023-12-11,2837.05,2855.8,2919.9,2811.05,2862.0,5064123,14523504974.75,202891
